,Series,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Total_Cost,Day_Perc_Change,Trend
63,EQ,HDFCBANK,2017-08-11,1760.45,1745.0,1758.0,1731.15,       1751.55,1749.05,1745.33,1589959,2775004879.35,44760,933883,58.74,8,2017,2780917788.95,-0.006475617029736758,Slight or No change
64,EQ,HDFCBANK,2017-08-14,1749.05,1753.0,1774.95,1748.0,       1756.00,1757.2,1763.29,894271,1576861460.0,29948,381974,42.71,8,2017,1571413001.2,0.0046596723935852236,Slight or No change
65,EQ,HDFCBANK,2017-08-16,1757.2,1762.35,1789.8,1748.55,       1780.00,1781.25,1771.34,1106708,1960350803.55,33007,548143,49.53,8,2017,1971323625.0,0.013686546778966413,Slight or No change
66,EQ,HDFCBANK,2017-08-17,1781.25,1776.25,1780.95,1753.75,       1768.00,1765.4,1770.23,1363717,2414091935.05,28952,430581,31.57,8,2017,2407505991.8,-0.008898245614035072,Slight or No change
67,EQ,HDFCBANK,2017-08-18,1765.4,1760.0,1761.0,1743.0,       1754.25,1752.15,1750.79,926866,1622750045.0,32410,591150,63.78,8,2017,1624008261.9,-0.007505381216721396,Slight or No change
68,EQ,HDFCBANK,2017-08-21,1752.15,1754.0,1759.0,1738.2,       1742.15,1743.2,1747.56,1002431,1751811096.15,29000,652267,65.07,8,2017,1747437719.2,-0.0051080101589475735,Slight or No change
69,EQ,HDFCBANK,2017-08-22,1743.2,1751.3,1754.0,1736.8,       1748.55,1747.0,1744.99,1652389,2883401579.9,61483,1038533,62.85,8,2017,2886723583.0,0.0021798990362551507,Slight or No change
70,EQ,HDFCBANK,2017-08-23,1747.0,1750.0,1777.95,1750.0,       1769.10,1772.45,1767.91,840131,1485274496.2,28305,449582,53.51,8,2017,1489090190.95,0.014567830566685869,Slight or No change
71,EQ,HDFCBANK,2017-08-24,1772.45,1774.9,1774.95,1759.15,       1767.50,1762.5,1764.17,1969569,3474659289.25,29178,584539,29.68,8,2017,3471365362.5,-0.0056136985528506544,Slight or No change
72,EQ,HDFCBANK,2017-08-28,1762.5,1762.4,1771.15,1758.35,       1759.75,1762.25,1764.02,376946,664940795.75,18676,164586,43.66,8,2017,664273088.5,-0.00014184397163119478,Slight or No change
73,EQ,HDFCBANK,2017-08-29,1762.25,1759.0,1759.0,1738.0,       1748.95,1746.15,1744.1,1229649,2144630136.0,25477,657465,53.47,8,2017,2147151601.3500001,-0.009136047666335578,Slight or No change
74,EQ,HDFCBANK,2017-08-30,1746.15,1751.95,1770.0,1750.05,       1769.65,1768.55,1763.86,673580,1188103641.85,18278,340011,50.48,8,2017,1191259909.0,0.01282822208859491,Slight or No change
75,EQ,HDFCBANK,2017-08-31,1768.55,1772.0,1779.85,1756.4,       1769.00,1776.45,1772.21,1825859,3235800483.15,36463,844787,46.27,8,2017,3243547220.55,0.004466936190664628,Slight or No change
76,EQ,HDFCBANK,2017-09-01,1776.45,1781.0,1781.45,1761.1,       1765.00,1767.6,1771.67,573793,1016570200.0,19096,240856,41.98,9,2017,1014236506.8,-0.004981845816093955,Slight or No change
77,EQ,HDFCBANK,2017-09-04,1767.6,1765.0,1765.0,1746.1,       1750.00,1750.9,1752.37,910631,1595764535.85,31359,527482,57.92,9,2017,1594423817.9,-0.009447838877574055,Slight or No change
78,EQ,HDFCBANK,2017-09-05,1750.9,1757.0,1764.9,1751.0,       1755.00,1755.35,1757.77,920609,1618215150.85,24788,439271,47.72,9,2017,1615991008.1499999,0.0025415500599690333,Slight or No change
